map;date;time;player;cheated
BayA1;19/04/2008;0:17.16;Jake;0
BayA1;19/04/2008;0:17.08;rad;0
BayA1;15/05/2008;0:17.06;X-ray;0
BayA1;16/05/2008;0:17.00;Cayman�LT;0
BayA1;17/06/2008;0:16.98;KaboOm;0
BayA1;16/08/2011;0:16.97;Cayman�LT;0
BayA1;31/05/2014;0:16.96;kripke;0
BayA1;16/11/2021;0:16.93;�Mec�Phil.Fwo;0
BayA1;01/02/2025;0:16.90;ZappZ;0
BayA2;19/04/2008;0:17.78;Jake;0
BayA2;19/04/2008;0:17.72;pgs9;0
BayA2;19/04/2008;0:17.54;rad;0
BayA2;15/05/2008;0:17.42;X-ray;0
BayA2;16/05/2008;0:17.38;rad;0
BayA2;17/06/2008;0:17.34;KaboOm;0
BayA2;13/01/2009;0:17.31;Kaka;0
BayA2;24/12/2009;0:17.30;plastorex;0
BayA2;29/11/2010;0:17.28;TmLuffy;0
BayA2;05/05/2019;0:17.21;�Mec�Phil.Fwo;0
BayA2;31/05/2019;0:17.19;! dameager !;0
BayA2;06/03/2021;0:17.12;Fwo.Link;0
BayA3;19/04/2008;0:20.00;Jake;0
BayA3;19/04/2008;0:19.93;rad;0
BayA3;20/04/2008;0:19.80;Kerebatem;0
BayA3;06/06/2008;0:19.79;[CMC] Patoum;0
BayA3;17/06/2008;0:19.70;KaboOm;0
BayA3;08/11/2008;0:19.69;Roa;0
BayA3;13/01/2009;0:19.66;Kaka;0
BayA3;25/02/2011;0:19.64;caveman;0
BayA3;06/07/2011;0:19.63;TmLuffy;0
BayA3;03/06/2021;0:19.62;TmLuffy;0
BayA3;12/03/2022;0:19.61;mec�shock;0
BayA3;29/05/2023;0:19.60;Nersons;0
BayA4;19/04/2008;0:15.24;Jake;0
BayA4;19/04/2008;0:15.15;rad;0
BayA4;24/04/2008;0:15.13;ludix;0
BayA4;25/05/2008;0:15.12;NT_nosteam;0
BayA4;06/06/2008;0:15.09;[CMC] Patoum;0
BayA4;17/06/2008;0:15.05;KaboOm;0
BayA4;06/07/2011;0:15.03;TmLuffy;0
BayA4;23/09/2014;0:14.98;! dameager !;0
BayA4;24/09/2014;0:14.91;plastorex;0
BayA4;16/05/2015;0:14.90;! dameager !;0
BayA4;06/12/2015;0:14.89;! dameager !;0
BayA4;06/12/2015;0:14.87;! dameager !;0
BayA4;12/12/2015;0:14.86;koek-trommel;0
BayA4;22/01/2016;0:14.84;koek-trommel;0
BayA4;12/01/2021;0:14.80;! dameager !;0
BayA5;19/04/2008;0:19.32;Jake;0
BayA5;19/04/2008;0:17.86;Sd.Marci [TMX Cuthunter];0
BayA5;20/04/2008;0:17.66;pgs9;0
BayA5;18/05/2008;0:17.32;Cayman�LT;0
BayA5;26/05/2008;0:17.20;X-ray;0
BayA5;27/05/2008;0:17.10;X-ray;0
BayA5;05/06/2008;0:17.00;-Phil-;0
BayA5;17/06/2008;0:16.79;KaboOm;0
BayA5;08/11/2008;0:16.46;Roa;0
BayA5;10/01/2011;0:16.37;TmLuffy;0
BayA5;22/05/2021;0:15.92;Mizu.Fwo;0
BayA5;23/04/2022;0:15.71;rez;0
BayA5;22/01/2023;0:15.63;Neko98;0
BayA5;17/06/2023;0:15.62;mediocre_man;0
BayA5;16/06/2024;0:15.57;Neko98;0
BayB1;20/11/2006;0:20.01;loozerr;0
BayB1;21/11/2006;0:19.62;>WP< Tricks0r;0
BayB1;10/12/2006;0:19.57;Koroner (inactive);0
